type,input_type,time_ms,key
scroll,scroll_down,49151.363,dy=-2
scroll,scroll_down,49158.393,dy=-2
scroll,scroll_down,49166.270,dy=-2
scroll,scroll_down,49175.093,dy=-2
scroll,scroll_down,49183.608,dy=-2
scroll,scroll_down,49192.199,dy=-2
scroll,scroll_down,49200.012,dy=-2
scroll,scroll_down,49587.979,dy=-1
scroll,scroll_down,49607.496,dy=-1
scroll,scroll_down,49641.468,dy=-2
scroll,scroll_down,49656.153,dy=-2
scroll,scroll_down,49674.670,dy=-2
scroll,scroll_down,49692.731,dy=-1
scroll,scroll_down,49694.319,dy=-1
scroll,scroll_down,49710.022,dy=-1
scroll,scroll_down,49710.491,dy=-1
scroll,scroll_down,49724.497,dy=-1
scroll,scroll_down,49727.247,dy=-1
scroll,scroll_down,49743.420,dy=-1
scroll,scroll_down,49743.843,dy=-2
scroll,scroll_down,49756.767,dy=-2
scroll,scroll_down,49760.599,dy=-2
scroll,scroll_down,49775.952,dy=-2
scroll,scroll_down,49778.512,dy=-1
scroll,scroll_down,49790.020,dy=-1
scroll,scroll_down,49794.966,dy=-1
scroll,scroll_down,49807.852,dy=-1
scroll,scroll_down,49810.405,dy=-1
scroll,scroll_down,49822.780,dy=-1
scroll,scroll_down,49827.127,dy=-1
scroll,scroll_down,49841.322,dy=-1
scroll,scroll_down,49844.382,dy=-1
scroll,scroll_down,49856.669,dy=-1
scroll,scroll_down,49860.791,dy=-1
scroll,scroll_down,49874.274,dy=-1
scroll,scroll_down,49877.265,dy=-1
scroll,scroll_down,49890.923,dy=-1
scroll,scroll_down,49893.941,dy=-1
scroll,scroll_down,49907.767,dy=-1
scroll,scroll_down,49911.160,dy=-1
scroll,scroll_down,49923.418,dy=-1
scroll,scroll_down,49927.448,dy=-1
scroll,scroll_down,49941.796,dy=-1
scroll,scroll_down,49944.126,dy=-1
scroll,scroll_down,49958.416,dy=-1
scroll,scroll_down,49960.495,dy=-1
scroll,scroll_down,49989.789,dy=-1
scroll,scroll_down,50023.565,dy=-2
